n    ,h    ,x_1  ,v_1                    ,v_2                    ,S                       ,olp
186  ,0.01 ,1.86 ,0.12284242797640858    ,0.12284242783909362    ,-9.154330996944774e-12  ,-1.4646929595111639e-10
187  ,0.01 ,1.87 ,0.12101354249016481    ,0.12101354235416693    ,-9.066525308298878e-12  ,-1.4506440493278205e-10
188  ,0.01 ,1.88 ,0.11921188556148778    ,0.1192118854267982     ,-8.979305262298472e-12  ,-1.4366888419677555e-10
189  ,0.01 ,1.89 ,0.11743705180996807    ,0.11743705167657799    ,-8.89267178412941e-12   ,-1.4228274854607055e-10
190  ,0.01 ,1.9  ,0.1156886418905243     ,0.11568864175842489    ,-8.806627649349253e-12  ,-1.4090604238958804e-10
191  ,0.01 ,1.91 ,0.11396626240354879    ,0.11396626227273117    ,-8.721174708329708e-12  ,-1.3953879533327533e-10
192  ,0.01 ,1.92 ,0.11226952580639094    ,0.11226952567684623    ,-8.63631388625663e-12   ,-1.3818102218010608e-10
193  ,0.01 ,1.93 ,0.11059805032615855    ,0.11059805019787784    ,-8.552047033501727e-12  ,-1.3683275253602764e-10
194  ,0.01 ,1.94 ,0.10895145987381731    ,0.10895145974679168    ,-8.468375075250851e-12  ,-1.3549400120401362e-10
195  ,0.01 ,1.95 ,0.10732938395956916    ,0.10732938383378968    ,-8.38529893668986e-12   ,-1.3416478298703775e-10
196  ,0.01 ,1.96 ,0.10573145760949051    ,0.10573145748494824    ,-8.302818617818748e-12  ,-1.3284509788509997e-10
197  ,0.01 ,1.97 ,0.10415732128341161    ,0.10415732116009757    ,-8.220935969009228e-12  ,-1.3153497550414765e-10
198  ,0.01 ,1.98 ,0.10260662079401844    ,0.10260662067192368    ,-8.139650990261297e-12  ,-1.3023441584418075e-10
199  ,0.01 ,1.99 ,0.10107900722715914    ,0.10107900710627467    ,-8.05896460676081e-12   ,-1.2894343370817296e-10
200  ,0.01 ,2.0  ,0.09957413686333677    ,0.09957413674365362    ,-7.978876818507766e-12  ,-1.2766202909612426e-10
201  ,0.01 ,2.01 ,0.09809167110037105    ,0.09809167098188024    ,-7.899387625502167e-12  ,-1.2639020200803468e-10
202  ,0.01 ,2.02 ,0.0966312763772114     ,0.09663127625990395    ,-7.82049702774401e-12   ,-1.2512795244390417e-10
203  ,0.01 ,2.03 ,0.09519262409888431    ,0.09519262398275125    ,-7.742204100047445e-12  ,-1.2387526560075912e-10
204  ,0.01 ,2.04 ,0.09377539056255806    ,0.09377539044759042    ,-7.664508842412469e-12  ,-1.226321414785995e-10
205  ,0.01 ,2.05 ,0.09237925688470824    ,0.09237925677089709    ,-7.587410329653229e-12  ,-1.2139856527445166e-10
206  ,0.01 ,2.06 ,0.09100390892936765    ,0.09100390881670402    ,-7.510908561769725e-12  ,-1.201745369883156e-10
207  ,0.01 ,2.07 ,0.08964903723744429    ,0.08964903712591922    ,-7.43500446394781e-12   ,-1.1896007142316496e-10
208  ,0.01 ,2.08 ,0.08831433695709183    ,0.08831433684669641    ,-7.359694335444071e-12  ,-1.1775510936710514e-10
209  ,0.01 ,2.09 ,0.08699950777511664    ,0.08699950766584195    ,-7.284979101444359e-12  ,-1.1655966562310974e-10
210  ,0.01 ,2.1  ,0.08570425384940605    ,0.08570425374124319    ,-7.210857836762822e-12  ,-1.1537372538820515e-10
211  ,0.01 ,2.11 ,0.08442828374236264    ,0.08442828363530272    ,-7.137327765841898e-12  ,-1.1419724425347037e-10
212  ,0.01 ,2.12 ,0.08317131035532951    ,0.08317131024936367    ,-7.064389813867441e-12  ,-1.1303023702187905e-10
