n   ,h                      ,x              ,v[1]_1                 ,v[2]_1                ,v[1]_2                 ,v[2]_2                ,S                      ,ОЛП
56  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718219928    ,-0.3309603869203113   ,-0.39824991577357294   ,-0.3302927824816332   ,9.999999999998636e-05  ,0.0015999999999997817
57  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718220169    ,-0.33096038692026153  ,-0.3982499157735969    ,-0.3302927824815832   ,9.999999999998466e-05  ,0.0015999999999997546
58  ,7.275957614183426e-14  ,11.52330531212 ,-0.396906671822041     ,-0.33096038692021174  ,-0.3982499157736209    ,-0.33029278248153326  ,9.999999999998298e-05  ,0.0015999999999997277
59  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182206507   ,-0.33096038692016194  ,-0.3982499157736449    ,-0.3302927824814833   ,9.99999999999813e-05   ,0.0015999999999997008
60  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182208916   ,-0.33096038692011215  ,-0.39824991577366886   ,-0.33029278248143334  ,9.999999999997962e-05  ,0.001599999999999674
61  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182211326   ,-0.33096038692006235  ,-0.39824991577369284   ,-0.3302927824813834   ,9.999999999997793e-05  ,0.0015999999999996468
62  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182213735   ,-0.33096038692001256  ,-0.3982499157737168    ,-0.3302927824813334   ,9.999999999997625e-05  ,0.00159999999999962
63  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182216144   ,-0.33096038691996277  ,-0.3982499157737408    ,-0.33029278248128346  ,9.999999999997455e-05  ,0.0015999999999995929
64  ,7.275957614183426e-14  ,11.52330531212 ,-0.39690667182218553   ,-0.330960386919913    ,-0.3982499157737648    ,-0.3302927824812335   ,9.999999999997286e-05  ,0.0015999999999995657
65  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718222096    ,-0.3309603869198632   ,-0.39824991577378877   ,-0.33029278248118354  ,9.999999999997118e-05  ,0.0015999999999995389
66  ,7.275957614183426e-14  ,11.52330531212 ,-0.3969066718222337    ,-0.3309603869198134   ,-0.39824991577381275   ,-0.3302927824811336   ,9.99999999999695e-05   ,0.001599999999999512
